,cfc,state,county,0-17,18-25,26-34,35-44,45-54,55-64,65+,age_unknown,no_aptc,yes_aptc,no_csr,yes_csr,american_alaska_native,asian,black,latino,hawaiian_native_pacific_islander,multiracial,white,ethnicity_unknown,fpl_<_100,fpl_<_151,fpl_<_201,fpl_<_251,fpl_<_301,fpl_<_401,fpl_>_400,fpl_unknown,platinum,gold,silver,bronze,catastrophic,new,active_renew,auto_renew,tps,Year
802,28013,MS,Calhoun County,0.0,0.1348,0.0,0.1376,0.2528,0.323,0.0,0.0,0.0449,0.9551,0.1994,0.8006,0.0,0.0,0.2107,0.0,0.0,0.0,0.323,0.4438,0.0,0.559,0.1994,0.118,0.0562,0.0309,0.0,0.0,0.0,0.0,0.86,0.12,0.0,0.5899,0.177,0.2331,356.0,2015
803,28017,MS,Chickasaw County,0.0,0.0,0.1241,0.1738,0.2429,0.328,0.0,0.0,0.0621,0.9379,0.2447,0.7553,0.0,0.0,0.328,0.0,0.0,0.0,0.2677,0.3865,0.0,0.5957,0.2092,0.0833,0.0567,0.023,0.0,0.0195,0.0,0.0,0.83,0.14,0.0,0.6507,0.133,0.2163,564.0,2015
804,28021,MS,Claiborne County,0.0368,0.1473,0.1048,0.17,0.2125,0.3286,0.0,0.0,0.1048,0.8952,0.2436,0.7564,0.0,0.0,0.4816,0.0,0.0,0.0,0.0,0.4504,0.0453,0.5921,0.1756,0.0878,0.0,0.034,0.0,0.0368,0.0,0.0,0.81,0.17,0.0,0.6261,0.0935,0.2805,353.0,2015
805,28023,MS,Clarke County,0.0,0.0998,0.1188,0.1758,0.2613,0.323,0.0,0.0,0.0546,0.9454,0.266,0.734,0.0,0.0,0.3539,0.0,0.0,0.0,0.2209,0.4133,0.0,0.5891,0.1781,0.0998,0.057,0.0,0.0,0.0309,0.0,0.0,0.77,0.2,0.0,0.6152,0.1045,0.2803,421.0,2015
806,28025,MS,Clay County,0.0,0.1433,0.1733,0.1383,0.2383,0.2867,0.0,0.0,0.0633,0.9367,0.2267,0.7733,0.0,0.0,0.4483,0.0,0.0,0.0,0.1417,0.3983,0.0217,0.6183,0.1767,0.0983,0.04,0.0,0.0,0.0233,0.0,0.03,0.82,0.15,0.0,0.655,0.115,0.23,600.0,2015
807,28027,MS,Coahoma County,0.0,0.1483,0.1091,0.1762,0.2545,0.2937,0.0,0.0,0.1105,0.8895,0.2573,0.7427,0.0,0.0406,0.4643,0.0182,0.0,0.0,0.0797,0.3888,0.0406,0.6238,0.1804,0.0741,0.0322,0.0,0.0,0.0266,0.0,0.02,0.8,0.17,0.0,0.5455,0.1399,0.3147,715.0,2015
808,28029,MS,Copiah County,0.0,0.144,0.1664,0.1664,0.2111,0.2856,0.0,0.0,0.0555,0.9445,0.2417,0.7583,0.0,0.0265,0.3311,0.0,0.0,0.0,0.1747,0.4619,0.0,0.6159,0.1921,0.072,0.048,0.0323,0.0,0.024,0.0,0.02,0.83,0.13,0.0,0.6382,0.1358,0.226,1208.0,2015
809,28031,MS,Covington County,0.0,0.1468,0.141,0.1655,0.2576,0.2604,0.0,0.0,0.0504,0.9496,0.2187,0.7813,0.0,0.0,0.3065,0.0,0.0,0.0,0.3885,0.2921,0.0302,0.5669,0.1914,0.1108,0.046,0.0,0.0,0.0259,0.03,0.0,0.84,0.08,0.0,0.6676,0.1453,0.1871,695.0,2015
810,28033,MS,DeSoto County,0.0719,0.1257,0.1844,0.2096,0.2025,0.2026,0.0033,0.0,0.0957,0.9043,0.3241,0.6759,0.0,0.0365,0.1841,0.028,0.0,0.0052,0.3471,0.3982,0.0277,0.4693,0.2148,0.1114,0.075,0.0521,0.0105,0.0392,0.09,0.05,0.76,0.08,0.01,0.4825,0.172,0.3455,6356.0,2015
811,28035,MS,Forrest County,0.0243,0.184,0.2066,0.1668,0.1982,0.2167,0.0,0.0,0.0654,0.9346,0.249,0.751,0.0,0.0293,0.2963,0.0,0.0,0.0075,0.2728,0.3898,0.031,0.583,0.2049,0.0884,0.0314,0.0331,0.0,0.0,0.02,0.03,0.79,0.15,0.01,0.6878,0.1006,0.2117,2386.0,2015
